week_start,acquisition_channel,signups,activated_users,paid_conversions,revenue_usd,support_tickets
2026-04-06,Organic,420,248,78,15600,28
2026-04-06,Referral,180,126,48,9600,12
2026-04-06,Paid Search,360,205,60,12000,30
2026-04-06,Partners,120,82,35,8400,10
2026-04-13,Organic,432,257,80,16000,27
2026-04-13,Referral,187,132,51,10200,11
2026-04-13,Paid Search,375,214,63,12600,31
2026-04-13,Partners,128,89,37,8880,10
2026-04-20,Organic,445,269,84,16800,29
2026-04-20,Referral,195,139,54,10800,12
2026-04-20,Paid Search,392,225,66,13200,33
2026-04-20,Partners,137,96,40,9600,11
2026-04-27,Organic,458,279,88,17600,30
2026-04-27,Referral,203,146,57,11400,12
2026-04-27,Paid Search,410,233,67,13400,35
2026-04-27,Partners,148,106,44,10560,11
2026-05-04,Organic,472,288,91,18200,29
2026-05-04,Referral,214,157,62,12400,13
2026-05-04,Paid Search,455,236,64,12800,44
2026-05-04,Partners,161,118,48,11520,12
2026-05-11,Organic,486,299,95,19000,30
2026-05-11,Referral,225,168,66,13200,13
2026-05-11,Paid Search,485,230,59,11800,55
2026-05-11,Partners,176,131,53,12720,12
2026-05-18,Organic,498,306,98,19600,30
2026-05-18,Referral,236,177,71,14200,14
2026-05-18,Paid Search,510,221,54,10800,66
2026-05-18,Partners,191,142,58,13920,13
2026-05-25,Organic,510,312,102,20400,31
2026-05-25,Referral,245,184,75,15000,14
2026-05-25,Paid Search,530,210,49,9800,78
2026-05-25,Partners,205,151,62,14880,14
